total,datetime_utc,PV,CHP,mean_global_irradiance,Air_temp,Facility_Manager,Engine_test_stand
226.18262895425048,2023-12-14 11:00:00,-45.578216288044,-184.30851124863383,109.15112982892266,10.255959686032478,Jane Smith,On
215.3248483357393,2023-12-14 12:00:00,-66.04163828302148,-184.30851124863383,119.72622309728986,10.346990193680478,Jane Smith,On
274.4620801242087,2023-12-14 13:00:00,-34.54971843338941,-184.4535398497268,97.73297168057329,10.522508931079717,Jane Smith,On
236.3893303493401,2023-12-14 14:00:00,-7.427782834525875,-184.1928426857924,44.46138287420683,10.303810265454116,Jane Smith,On
232.32920535387427,2023-12-14 15:00:00,-0.0098640056002389,-184.6051918333333,2.5683762943713107,8.685074984364322,Jane Smith,On
170.24535513457002,2023-12-14 16:00:00,0.0054297699564795,-184.4331177923497,0.0,7.056108429366346,Alex Brown,On
164.669628203571,2023-12-14 17:00:00,0.0053764757842757,-184.52811686612023,0.0,6.271002724374766,Alex Brown,On
164.669628203571,2023-12-14 18:00:00,0.0045784034230652,-184.8362256448088,0.0,7.145833036083909,Alex Brown,On
134.14722385128582,2023-12-14 19:00:00,0.0039545277615723,-184.87916932513664,0.0,7.096616731662276,Alex Brown,On
95.59568368465531,2023-12-14 20:00:00,0.005138828090142,-184.75110115300544,0.0,6.134330845301777,Alex Brown,On
95.34667672771306,2023-12-14 21:00:00,0.0049959754088567,-184.9410483196721,0.0,5.908606073254977,Alex Brown,On
88.30780655650466,2023-12-14 22:00:00,0.004026528347806,-185.05542036885248,0.0,6.25751845308453,Alex Brown,On
85.69616145210514,2023-12-14 23:00:00,0.0045515462014702,-185.00611748360657,0.0,6.093305637565737,Alex Brown,On
88.88960445032146,2023-12-15 00:00:00,0.0030206151966356,-185.18299113934424,0.0,5.438142303721588,John Doe,On
83.33126545450966,2023-12-15 01:00:00,0.0015471052990952,-185.1932515628416,0.0,5.68758951905713,John Doe,On
84.58300544770441,2023-12-15 02:00:00,0.0034500565885493,-185.2450265,0.0,5.999937522416955,John Doe,On
94.08878027593671,2023-12-15 03:00:00,0.0056212112229845,-184.9140293360656,0.0,5.707349340505638,John Doe,On
99.9961449350464,2023-12-15 04:00:00,0.0051219249181123,-185.0626695,0.0,5.2628280153929134,John Doe,On
98.26586006884595,2023-12-15 05:00:00,0.0047652126204631,-184.9140948306011,0.0,4.914996618202463,John Doe,On
124.53002834992766,2023-12-15 06:00:00,0.0011582095211042,-184.41287,0.0022922073489235,4.9143911032001295,John Doe,On
136.38228591252752,2023-12-15 07:00:00,-7.496799656416806,-184.2833553333333,5.535023885329142,5.313615407550822,John Doe,On
185.4393585909752,2023-12-15 08:00:00,-38.58875616713348,-184.0994433333333,26.31472747309348,6.255425144125164,Jane Smith,On
201.38088927922604,2023-12-15 09:00:00,-67.8378524956673,-184.25986116666667,28.42522229197792,6.8714722418319445,Jane Smith,On
284.02990644511465,2023-12-15 10:00:00,-38.16338668920257,-184.33831966666665,31.762429612725363,7.427145688325965,Jane Smith,On
216.4976714215376,2023-12-15 11:00:00,-73.55587918130261,-184.25026316666668,63.41046542954232,7.890632966982054,Jane Smith,On
239.6300253945311,2023-12-15 12:00:00,-58.89165578197224,-184.31349716666668,103.7082618854945,8.045455607237212,Jane Smith,On
243.28316443457447,2023-12-15 13:00:00,-25.40566606562451,-184.316044,59.82096868311088,7.906412667828663,Jane Smith,On
158.7564643563951,2023-12-15 14:00:00,-15.106378940908526,-184.50526866666664,16.1393278482576,7.674216660617092,Jane Smith,On
177.126311089515,2023-12-15 15:00:00,-0.8422466878415187,-184.572852,0.217409495437626,7.301447549398889,Jane Smith,On
101.77246282034864,2023-12-15 16:00:00,0.0035756427908351,-184.68788966666665,0.0,7.301447549398889,Alex Brown,On
121.32384106948726,2023-12-15 17:00:00,0.0028042090278601,-184.588529,0.0,6.617129344108624,Alex Brown,On
79.50101978106316,2023-12-15 18:00:00,0.0027033356269254,-184.70410616666663,0.0,6.522699426417067,Alex Brown,Standby
95.6724461744618,2023-12-15 19:00:00,0.002064539655282,-184.88163983333328,0.0,5.793728451759185,Alex Brown,On
55.51613812951249,2023-12-15 20:00:00,0.0010841462240062,-184.840646,0.0,5.639968995101495,Alex Brown,Standby
